symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
IGL,INE203G01027,2023-11-10,NSE,EQ,EQ,buy,false,1.000000,392.700000,23351932,1100000020973791,2023-11-10T13:27:43
IRFC,INE053F01010,2024-01-19,NSE,EQ,EQ,buy,false,2.000000,160.250000,32187008,1100000049066759,2024-01-19T15:20:27
HDFCBANK,INE040A01034,2024-01-19,NSE,EQ,EQ,buy,false,1.000000,1472.100000,32590147,1100000049813296,2024-01-19T15:28:57
HDFCBANK,INE040A01034,2024-01-20,NSE,EQ,EQ,buy,false,2.000000,1482.450000,27497218,1100000029565854,2024-01-20T14:17:17
HDFCBANK,INE040A01034,2024-01-24,NSE,EQ,EQ,buy,false,1.000000,1440.750000,26562189,1100000029712557,2024-01-24T11:52:32
IRFC,INE053F01010,2024-01-24,NSE,EQ,EQ,buy,false,1.000000,166.950000,26648078,1100000030240761,2024-01-24T11:56:10
HDFCBANK,INE040A01034,2024-01-24,NSE,EQ,EQ,buy,false,3.000000,1440.000000,26900632,1100000030485008,2024-01-24T12:05:30
IRFC,INE053F01010,2024-01-29,NSE,EQ,EQ,buy,false,5.000000,170.700000,26908355,1100000032190433,2024-01-29T12:58:17
SUZLON,INE040H01021,2024-01-29,NSE,EQ,EQ,buy,false,10.000000,43.200000,70681292,1300000046385713,2024-01-29T15:13:10
CPSEETF,INF457M01133,2024-01-30,NSE,EQ,EQ,buy,false,25.000000,74.550000,4986706,1000000029923593,2024-01-30T12:46:02
CPSEETF,INF457M01133,2024-01-30,NSE,EQ,EQ,buy,false,10.000000,74.400000,6406344,1000000037955498,2024-01-30T14:09:12
CPSEETF,INF457M01133,2024-01-31,NSE,EQ,EQ,buy,false,20.000000,73.690000,5105750,1000000030229937,2024-01-31T13:03:57
SUZLON,INE040H01021,2024-01-31,NSE,EQ,EQ,buy,false,20.000000,44.750000,68482667,1300000012592328,2024-01-31T14:09:36
CPSEETF,INF457M01133,2024-02-01,NSE,EQ,EQ,buy,false,2.000000,74.200000,4832401,1000000030228514,2024-02-01T12:32:00
CPSEETF,INF457M01133,2024-02-01,NSE,EQ,EQ,buy,false,1.000000,74.200000,4833374,1000000030228514,2024-02-01T12:32:03
CPSEETF,INF457M01133,2024-02-01,NSE,EQ,EQ,buy,false,17.000000,74.200000,4842979,1000000030228514,2024-02-01T12:32:32
NHPC,INE848E01016,2024-02-05,NSE,EQ,EQ,buy,false,10.000000,111.900000,42673195,1200000009473903,2024-02-05T09:48:07
CPSEETF,INF457M01133,2024-02-05,NSE,EQ,EQ,buy,false,90.000000,80.400000,5828578,1000000030840490,2024-02-05T13:18:16
IRFC,INE053F01010,2024-02-05,NSE,EQ,EQ,buy,false,10.000000,160.300000,33885314,1100000054575751,2024-02-05T15:18:20
HDFCBANK,INE040A01034,2024-02-05,NSE,EQ,EQ,buy,false,5.000000,1445.050000,34016663,1100000054897493,2024-02-05T15:20:43
SUZLON,INE040H01021,2024-02-05,NSE,EQ,EQ,buy,false,10.000000,48.250000,73848521,1300000051133681,2024-02-05T15:23:20
HDFCBANK,INE040A01034,2024-02-08,NSE,EQ,EQ,buy,false,7.000000,1403.700000,31824874,1100000050694232,2024-02-08T15:10:22
HDFCBANK,INE040A01034,2024-02-09,NSE,EQ,EQ,buy,false,1.000000,1400.000000,29888477,1100000044236059,2024-02-09T14:14:59
IRFC,INE053F01010,2024-02-12,NSE,EQ,EQ,buy,false,2.000000,140.000000,25846337,1100000025936286,2024-02-12T11:36:43
NHPC,INE848E01016,2024-02-23,NSE,EQ,EQ,buy,false,2.000000,92.000000,48674247,1200000030880899,2024-02-23T15:08:01
HDFCBANK,INE040A01034,2024-02-29,NSE,EQ,EQ,buy,false,1.000000,1400.000000,28181629,1100000043030355,2024-02-29T15:01:09
NHPC,INE848E01016,2024-03-12,NSE,EQ,EQ,buy,false,2.000000,87.000000,49173129,1200000048849744,2024-03-12T14:59:20
IRFC,INE053F01010,2024-03-15,NSE,EQ,EQ,buy,false,2.000000,134.000000,23293130,1100000017047333,2024-03-15T10:42:29
NHPC,INE848E01016,2024-03-15,NSE,EQ,EQ,buy,false,2.000000,83.000000,47666916,1200000044969843,2024-03-15T14:14:29
NHPC,INE848E01016,2024-03-15,NSE,EQ,EQ,buy,false,3.000000,83.000000,50328875,1200000055996047,2024-03-15T15:16:24
IRFC,INE053F01010,2024-03-18,NSE,EQ,EQ,buy,false,2.000000,135.000000,27371490,1100000042556606,2024-03-18T15:12:55
NHPC,INE848E01016,2024-03-18,NSE,EQ,EQ,buy,false,4.000000,82.450000,48035447,1200000046163507,2024-03-18T15:13:38
